State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,2774,2609,50,2183,15,7631,3051,1480,73,3677,25,8306,15937
State Representative District 002,3108,5002,58,2892,14,11074,2367,1855,70,3482,29,7803,18877
State Representative District 003,1972,10208,52,3384,12,15628,1116,2434,66,2585,20,6221,21849
State Representative District 004,1041,13363,17,2070,4,16495,527,2702,26,1599,9,4863,21358
State Representative District 005,1990,10301,68,3111,15,15485,1026,2327,42,2668,13,6076,21561
State Representative District 006,2583,6654,66,3333,23,12659,1842,2074,64,3308,20,7308,19967
State Representative District 007,2800,9071,70,4644,14,16599,930,1893,38,2968,20,5849,22448
State Representative District 008,3958,5488,80,3811,13,13350,2069,1710,73,3868,40,7760,21110
State Representative District 009,3549,7750,54,4852,13,16218,1337,1794,65,3777,6,6979,23197
State Representative District 010,3751,9595,66,5050,18,18480,1286,2136,72,3031,16,6541,25021
State Representative District 011,3643,8192,100,5240,17,17192,1120,1730,48,3003,14,5915,23107
State Representative District 012,2630,7486,55,3653,7,13831,1533,1961,48,3262,24,6828,20659
State Representative District 013,2881,9465,67,4265,11,16689,1008,2125,48,2658,21,5860,22549
State Representative District 014,3209,6636,63,3498,19,13425,2021,2198,59,3572,24,7874,21299
State Representative District 015,3747,9727,107,3823,19,17423,1185,2302,88,2373,26,5974,23397
State Representative District 016,2985,10201,113,3620,23,16942,1274,3044,110,3124,23,7575,24517
State Representative District 017,2636,8744,56,3947,12,15395,980,1993,60,3105,11,6149,21544
State Representative District 018,2455,9223,64,3325,15,15082,1160,2782,69,3545,23,7579,22661
State Representative District 019,3708,5296,121,3283,38,12446,2376,2307,139,3836,47,8705,21151
State Representative District 020,3309,3967,119,2869,33,10297,2730,2098,172,4190,67,9257,19554
State Representative District 021,4453,7008,101,4681,23,16266,1527,1794,73,3248,22,6664,22930
State Representative District 022,5078,7812,105,5453,13,18461,1481,1794,90,3044,18,6427,24888
State Representative District 023,3489,8423,105,5308,11,17336,1042,1840,62,3158,19,6121,23457
State Representative District 024,2865,7526,62,3750,16,14219,1333,1939,55,2915,19,6261,20480
State Representative District 025,3834,4430,52,3251,15,11582,2301,1559,57,3335,24,7276,18858
State Representative District 026,3357,7474,67,3981,10,14889,1247,1854,49,2982,25,6157,21046
State Representative District 027,5648,6993,107,6493,8,19249,1528,1548,68,3180,12,6336,25585
State Representative District 028,4993,6639,110,5812,23,17577,1560,1676,75,3182,13,6506,24083
State Representative District 029,4632,2416,69,2778,19,9914,3163,1008,88,2887,30,7176,17090
State Representative District 030,5630,2762,74,3098,27,11591,3065,985,90,3011,31,7182,18773
State Representative District 031,6515,5984,113,4771,26,17409,2076,1387,90,2818,27,6398,23807
State Representative District 032,6853,5234,121,3981,22,16211,2068,1238,63,2496,25,5890,22101
State Representative District 033,4665,1967,78,2575,26,9311,3708,982,85,3197,41,8013,17324
State Representative District 034,5628,1417,77,2381,24,9527,4186,1023,103,3049,45,8406,17933
State Representative District 035,8417,3295,123,3807,32,15674,2519,1038,77,2437,19,6090,21764
State Representative District 036,9263,2823,104,3468,25,15683,3630,1015,98,2718,36,7497,23180
State Representative District 037,3110,9913,72,4806,12,17913,1037,2013,53,2806,12,5921,23834
State Representative District 038,4743,6151,74,4517,12,15497,1739,1482,48,3495,16,6780,22277
State Representative District 039,5229,4336,113,3565,17,13260,2440,1234,66,2968,24,6732,19992
State Representative District 040,5345,5645,118,4955,17,16080,1784,1449,77,2820,23,6153,22233
State Representative District 041,5778,7305,135,6273,25,19516,1526,1656,83,2830,18,6113,25629
State Representative District 042,5390,6346,109,5224,15,17084,1510,1615,83,2537,20,5765,22849
State Representative District 043,5962,6842,109,4988,14,17915,1648,1315,62,2286,16,5327,23242
State Representative District 044,6371,5894,97,4480,30,16872,1870,1304,81,2380,18,5653,22525
State Representative District 045,4695,8301,131,5910,18,19055,1150,1406,80,2404,15,5055,24110
State Representative District 046,4931,7200,102,6262,21,18516,1401,1529,74,2939,10,5953,24469
State Representative District 047,3778,7064,105,4784,22,15753,1415,1617,64,3424,14,6534,22287
State Representative District 048,4875,6649,113,5674,23,17334,1441,1646,81,3646,16,6830,24164
State Representative District 049,4193,2168,78,3164,24,9627,3633,2331,157,4994,50,11165,20792
State Representative District 050,6153,3929,96,4590,25,14793,2882,1300,133,3392,31,7738,22531
State Representative District 051,4382,7554,137,5735,21,17829,1211,1598,82,3134,29,6054,23883
State Representative District 052,3639,4466,65,3380,15,11565,2364,1201,53,3270,22,6910,18475
State Representative District 053,4336,5793,57,5048,22,15256,2484,1290,54,3661,10,7499,22755
State Representative District 054,3261,8857,72,4309,10,16509,1156,1982,49,2846,14,6047,22556
State Representative District 055,3393,7912,69,4420,9,15803,1202,1716,62,2966,19,5965,21768
State Representative District 056,2768,8286,57,4280,8,15399,1084,1889,38,3058,22,6091,21490
State Representative District 057,3829,7597,70,5448,16,16960,1129,1522,43,3068,9,5771,22731
State Representative District 058,3968,6356,48,5680,8,16060,1290,1341,51,3500,20,6202,22262
State Representative District 059,4972,4937,66,5210,16,15201,1919,1260,54,4108,27,7368,22569
State Representative District 060,3869,7563,64,5365,8,16869,1211,1682,60,3413,28,6394,23263
State Representative District 061,5120,4021,76,3703,18,12938,2935,1168,61,3030,22,7216,20154
State Representative District 062,4807,2301,67,2878,18,10071,3777,888,67,3570,44,8346,18417
State Representative District 063,4951,6501,56,5798,14,17320,1408,1095,39,2832,20,5394,22714
State Representative District 064,3999,7758,69,4881,14,16721,1179,1801,47,2947,15,5989,22710
State Representative District 065,5676,7136,73,5201,11,18097,1439,1535,45,2656,15,5690,23787
State Representative District 066,4392,6899,57,5444,10,16802,1127,1357,34,3543,9,6070,22872
State Representative District 067,4021,7078,65,5889,12,17065,997,1241,32,3177,12,5459,22524
State Representative District 068,3902,5967,56,5050,14,14989,1204,1211,46,3149,13,5623,20612
State Representative District 069,4505,4940,69,4988,21,14523,2313,1452,70,4616,28,8479,23002
State Representative District 070,4349,6992,71,5584,19,17015,1405,1446,49,3681,30,6611,23626
State Representative District 071,5922,3854,113,3666,17,13572,2903,1487,107,3714,35,8246,21818
State Representative District 072,6331,5059,71,4245,25,15731,2214,1339,100,2978,28,6659,22390
State Representative District 073,5756,6008,109,5867,19,17759,1588,1390,62,2684,14,5738,23497
State Representative District 074,5930,4431,98,4941,20,15420,2137,1254,104,3047,25,6567,21987
State Representative District 075,5525,4849,93,4559,25,15051,2091,1350,75,3129,19,6664,21715
State Representative District 076,4615,6572,92,5392,17,16688,1646,1450,53,3101,29,6279,22967
State Representative District 077,4949,3215,94,4310,33,12601,2535,1106,87,3309,40,7077,19678
State Representative District 078,6490,2957,120,3801,37,13405,3219,1212,97,3244,48,7820,21225
State Representative District 079,6082,3802,83,4610,25,14602,2327,1085,100,3185,31,6728,21330
State Representative District 080,5868,5698,101,5239,35,16941,1930,1292,92,2948,30,6292,23233
State Representative District 081,4750,4382,88,4817,20,14057,2869,1376,82,4531,27,8885,22942
State Representative District 082,4051,6520,86,5202,15,15874,1459,1379,50,3276,22,6186,22060
State Representative District 083,5656,6962,107,6100,12,18837,1550,1241,68,2894,12,5765,24602
State Representative District 084,4275,7016,87,6351,17,17746,1059,1238,67,3168,14,5546,23292
State Representative District 085,7721,4094,106,5609,14,17544,2091,1133,75,3027,22,6348,23892
State Representative District 086,7970,2532,75,4557,22,15156,3326,983,58,3132,31,7530,22686
State Representative District 087,4257,6371,82,3631,28,14369,1763,1702,60,3315,31,6871,21240
State Representative District 088,2766,7942,85,3483,12,14288,1319,2162,77,3168,12,6738,21026
State Representative District 089,7552,1538,60,3530,38,12718,4270,1133,102,3854,41,9400,22118
State Representative District 090,9722,2046,74,3765,35,15642,3747,1085,66,2988,26,7912,23554
State Representative District 091,5267,7399,108,6050,18,18842,1418,1420,59,3206,17,6120,24962
State Representative District 092,4194,6601,69,4110,18,14992,1365,1613,82,3105,16,6181,21173
State Representative District 093,4904,7417,97,6318,21,18757,1731,1784,74,3574,12,7175,25932
State Representative District 094,4851,6350,82,5751,24,17058,1923,1523,86,3672,24,7228,24286
State Representative District 095,3367,7475,72,4693,8,15615,1645,1842,66,3741,14,7308,22923
State Representative District 096,3596,5198,69,3788,28,12679,2408,1722,94,4182,44,8450,21129
