State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,155","12,124","5,995",22,"21,296",285,518,713,1,"1,517","22,813"
State Representative District 002,"5,249","7,027","7,639",30,"19,945",472,431,923,1,"1,827","21,772"
State Representative District 003,"3,450","10,061","6,443",30,"19,984",297,468,843,2,"1,610","21,594"
State Representative District 004,"1,481","13,228","3,517",19,"18,245",117,466,363,2,948,"19,193"
State Representative District 005,"3,913","9,121","6,714",31,"19,779",332,488,737,3,"1,560","21,339"
State Representative District 006,"5,358","7,301","6,268",46,"18,973",464,429,703,2,"1,598","20,571"
State Representative District 007,"5,537","6,493","8,256",20,"20,306",495,398,"1,199",2,"2,094","22,400"
State Representative District 008,"4,612","8,142","7,129",22,"19,905",297,367,694,1,"1,359","21,264"
State Representative District 009,"6,942","4,837","6,539",30,"18,348",672,431,"1,018",4,"2,125","20,473"
State Representative District 010,"4,283","7,525","8,112",40,"19,960",384,418,"1,122",5,"1,929","21,889"
State Representative District 011,"4,219","7,116","7,247",22,"18,604",350,354,732,2,"1,438","20,042"
State Representative District 012,"5,780","6,240","8,624",56,"20,700",350,319,872,1,"1,542","22,242"
State Representative District 013,"5,401","4,855","5,237",48,"15,541",739,442,845,5,"2,031","17,572"
State Representative District 014,"6,060","4,131","4,875",41,"15,107",662,358,752,6,"1,778","16,885"
State Representative District 015,"5,531","4,226","5,907",62,"15,726",934,463,"1,081",7,"2,485","18,211"
State Representative District 016,"5,120","5,701","6,301",73,"17,195",718,507,969,7,"2,201","19,396"
State Representative District 017,"4,805","7,505","6,670",31,"19,011",255,314,521,1,"1,091","20,102"
State Representative District 018,"4,498","7,180","5,867",27,"17,572",451,373,923,1,"1,748","19,320"
State Representative District 019,"4,826","8,657","8,892",62,"22,437",458,611,"1,190",6,"2,265","24,702"
State Representative District 020,"4,709","6,533","7,554",43,"18,839",455,431,"1,122",1,"2,009","20,848"
State Representative District 021,"3,852","8,479","7,383",24,"19,738",299,458,873,1,"1,631","21,369"
State Representative District 022,"4,622","10,271","6,658",43,"21,594",351,485,646,4,"1,486","23,080"
State Representative District 023,"3,794","9,575","6,184",34,"19,587",506,799,"1,203",2,"2,510","22,097"
State Representative District 024,"3,378","8,572","5,883",22,"17,855",381,567,"1,140",5,"2,093","19,948"
State Representative District 025,"5,708","7,811","7,550",38,"21,107",418,473,833,4,"1,728","22,835"
State Representative District 026,"6,460","6,828","7,096",38,"20,422",443,386,727,3,"1,559","21,981"
State Representative District 027,"4,906","6,207","6,247",22,"17,382",647,560,"1,252",5,"2,464","19,846"
State Representative District 028,"5,342","6,965","7,119",28,"19,454",568,498,"1,004",1,"2,071","21,525"
State Representative District 029,"7,314","5,501","6,853",29,"19,697",869,558,"1,372",2,"2,801","22,498"
State Representative District 030,"6,622","7,235","6,942",72,"20,871",192,213,308,1,714,"21,585"
State Representative District 031,"7,439","4,480","5,525",65,"17,509",269,179,309,3,760,"18,269"
State Representative District 032,"7,614","2,585","4,502",70,"14,771",510,154,452,3,"1,119","15,890"
State Representative District 033,"8,093","3,093","4,868",72,"16,126",496,209,476,7,"1,188","17,314"
State Representative District 034,"8,493","3,536","5,319",83,"17,431",675,228,574,9,"1,486","18,917"
State Representative District 035,"7,369","2,169","4,237",74,"13,849",554,147,486,6,"1,193","15,042"
State Representative District 036,"9,136","5,101","5,861",105,"20,203",359,212,378,2,951,"21,154"
State Representative District 037,"5,810","9,278","7,492",91,"22,671",260,349,394,7,"1,010","23,681"
State Representative District 038,"6,357","6,823","6,494",77,"19,751",257,259,370,2,888,"20,639"
State Representative District 039,"5,805","9,171","7,536",82,"22,594",227,298,374,4,903,"23,497"
State Representative District 040,"6,405","7,628","6,117",62,"20,212",297,289,314,3,903,"21,115"
State Representative District 041,"9,748","4,950","5,339",102,"20,139",659,291,608,14,"1,572","21,711"
State Representative District 042,"6,354","7,250","6,306",94,"20,004",485,463,646,7,"1,601","21,605"
State Representative District 043,"6,843","7,704","5,754",73,"20,374",399,360,470,3,"1,232","21,606"
