State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,541","14,000","5,108",104,"22,753",230,478,561,13,"1,282","24,035"
State Representative District 002,"4,739","9,261","6,524",132,"20,656",238,393,646,10,"1,287","21,943"
State Representative District 003,"3,011","11,977","4,947",109,"20,044",186,339,465,8,998,"21,042"
State Representative District 004,"1,959","14,599","3,424",73,"20,055",113,491,270,13,887,"20,942"
State Representative District 005,"3,943","10,928","6,033",116,"21,020",181,379,419,10,989,"22,009"
State Representative District 006,"5,603","9,069","5,915",166,"20,753",408,494,667,16,"1,585","22,338"
State Representative District 007,"5,177","7,817","7,138",114,"20,246",281,381,830,5,"1,497","21,743"
State Representative District 008,"4,451","9,232","5,992",101,"19,776",197,295,492,7,991,"20,767"
State Representative District 009,"6,390","5,934","6,409",163,"18,896",513,349,844,12,"1,718","20,614"
State Representative District 010,"3,991","9,194","6,776",129,"20,090",189,266,481,12,948,"21,038"
State Representative District 011,"4,418","7,943","6,006",110,"18,477",402,350,684,4,"1,440","19,917"
State Representative District 012,"5,241","8,110","7,487",115,"20,953",173,209,380,8,770,"21,723"
State Representative District 013,"5,826","5,607","4,991",147,"16,571",599,449,834,24,"1,906","18,477"
State Representative District 014,"6,283","4,796","4,629",119,"15,827",601,333,638,14,"1,586","17,413"
State Representative District 015,"5,816","5,129","5,952",289,"17,186",650,462,859,35,"2,006","19,192"
State Representative District 016,"5,845","6,502","5,838",264,"18,449",703,574,"1,114",48,"2,439","20,888"
State Representative District 017,"4,343","9,328","5,720",139,"19,530",184,270,430,17,901,"20,431"
State Representative District 018,"4,559","8,479","5,540",113,"18,691",196,256,415,7,874,"19,565"
State Representative District 019,"7,638","11,547","9,898",259,"29,342",184,423,609,8,"1,224","30,566"
State Representative District 020,"5,030","7,432","7,140",132,"19,734",197,284,536,14,"1,031","20,765"
State Representative District 021,"3,977","9,343","6,416",118,"19,854",251,404,808,6,"1,469","21,323"
State Representative District 022,"5,470","11,533","6,339",172,"23,514",288,501,562,15,"1,366","24,880"
State Representative District 023,"4,082","11,013","5,241",193,"20,529",249,430,536,19,"1,234","21,763"
State Representative District 024,"3,332","10,403","4,697",122,"18,554",222,467,658,7,"1,354","19,908"
State Representative District 025,"6,785","10,148","7,786",216,"24,935",292,463,608,18,"1,381","26,316"
State Representative District 026,"7,121","8,120","6,718",171,"22,130",342,379,600,15,"1,336","23,466"
State Representative District 027,"4,588","7,702","5,649",139,"18,078",325,333,586,11,"1,255","19,333"
State Representative District 028,"5,126","8,500","6,557",131,"20,314",222,292,478,6,998,"21,312"
