state_representative_district,district_num,party,voter_classification,reg_total,reg_party,candidate,gen_total,gen_party,gen_vote_pct,gen_winning_party,gen_margin,gen_margin_category,gen_competitive,prim_voters,prim_margin,prim_margin_category
State Representative District 001,1,Dem,Meaningful (General),16163,5791,J.D. Scholten,8643,4615,0.5339581163947703,Dem,0.0691889390258012,5-10%,TRUE,292,0.9726027397260273,Uncontested
State Representative District 001,1,Rep,Meaningful (General),16163,4212,Josh Steinhoff,8643,4017,0.4647691773689691,Dem,0.0691889390258012,5-10%,TRUE,379,0.9788918205804749,Uncontested
State Representative District 001,1,No Party,None-of-the-Above,16163,5977,NA,8643,NA,NA,Dem,0.0691889390258012,5-10%,TRUE,NA,NA,NA
State Representative District 001,1,Lib,None-of-the-Above,16163,144,NA,8643,NA,NA,Dem,0.0691889390258012,5-10%,TRUE,2,NA,No Candidates
State Representative District 001,1,Other,None-of-the-Above,16163,39,NA,8643,NA,NA,Dem,0.0691889390258012,5-10%,TRUE,NA,NA,NA
State Representative District 002,2,Dem,Outnumbered,19202,5542,Jessica Lopez-Walker,11761,4613,0.39222855199387807,Rep,0.21401241391038173,20% or more,FALSE,314,0.9936305732484076,Uncontested
State Representative District 002,2,Rep,Unneeded,19202,7005,Robert Henderson,11761,7130,0.6062409659042598,Rep,0.21401241391038173,20% or more,FALSE,940,0.9638297872340424,Uncontested
State Representative District 002,2,No Party,Excluded,19202,6456,NA,11761,NA,NA,Rep,0.21401241391038173,20% or more,FALSE,NA,NA,NA
State Representative District 002,2,Lib,Excluded,19202,151,NA,11761,NA,NA,Rep,0.21401241391038173,20% or more,FALSE,6,NA,No Candidates
State Representative District 002,2,Other,Excluded,19202,48,NA,11761,NA,NA,Rep,0.21401241391038173,20% or more,FALSE,NA,NA,NA
State Representative District 003,3,Dem,Outnumbered,22160,3053,Emma Bouza,15272,3236,0.21189104243059192,Rep,0.5746464117338921,20% or more,FALSE,103,0.9805825242718447,Uncontested
State Representative District 003,3,Rep,Unneeded,22160,12862,Thomas Jeneary,15272,12012,0.7865374541644841,Rep,0.5746464117338921,20% or more,FALSE,2026,0.9842053307008884,Uncontested
State Representative District 003,3,No Party,Excluded,22160,6084,NA,15272,NA,NA,Rep,0.5746464117338921,20% or more,FALSE,NA,NA,NA
State Representative District 003,3,Lib,Excluded,22160,129,NA,15272,NA,NA,Rep,0.5746464117338921,20% or more,FALSE,4,NA,No Candidates
State Representative District 003,3,Other,Excluded,22160,32,NA,15272,NA,NA,Rep,0.5746464117338921,20% or more,FALSE,NA,NA,NA
State Representative District 004,4,Dem,Outnumbered,21592,1516,NA,14564,NA,NA,Rep,0.9626476242790443,Uncontested,FALSE,6,NA,No Candidates
State Representative District 004,4,Rep,Unneeded,21592,16347,Skyler Wheeler,14564,14292,0.9813238121395221,Rep,0.9626476242790443,Uncontested,FALSE,4431,0.9629880388174228,Uncontested
State Representative District 004,4,No Party,Excluded,21592,3664,NA,14564,NA,NA,Rep,0.9626476242790443,Uncontested,FALSE,NA,NA,NA
State Representative District 004,4,Lib,Excluded,21592,53,NA,14564,NA,NA,Rep,0.9626476242790443,Uncontested,FALSE,6,NA,No Candidates
State Representative District 004,4,Other,Excluded,21592,12,NA,14564,NA,NA,Rep,0.9626476242790443,Uncontested,FALSE,NA,NA,NA
State Representative District 005,5,Dem,Outnumbered,21791,2970,NA,14318,NA,NA,Rep,0.5594356753736556,20% or more,FALSE,12,NA,No Candidates
State Representative District 005,5,Rep,Unneeded,21791,12978,Zachary M. Dieken,14318,11146,0.7784606788657634,Rep,0.5594356753736556,20% or more,FALSE,2942,0.982324949014276,Uncontested
State Representative District 005,5,No Party,Excluded,21791,5690,NA,14318,NA,NA,Rep,0.5594356753736556,20% or more,FALSE,NA,NA,NA
State Representative District 005,5,Lib,Excluded,21791,129,NA,14318,NA,NA,Rep,0.5594356753736556,20% or more,FALSE,3,NA,No Candidates
State Representative District 005,5,Other,Excluded,21791,24,NA,14318,NA,NA,Rep,0.5594356753736556,20% or more,FALSE,NA,NA,NA
State Representative District 006,6,Dem,Outnumbered,20101,4365,NA,10254,NA,NA,Rep,0.9543592744294909,Uncontested,FALSE,10,NA,No Candidates
State Representative District 006,6,Rep,Unneeded,20101,8873,Megan Jones,10254,10020,0.9771796372147454,Rep,0.9543592744294909,Uncontested,FALSE,1018,0.9096267190569745,Uncontested
State Representative District 006,6,No Party,Excluded,20101,6684,NA,10254,NA,NA,Rep,0.9543592744294909,Uncontested,FALSE,NA,NA,NA
State Representative District 006,6,Lib,Excluded,20101,137,NA,10254,NA,NA,Rep,0.9543592744294909,Uncontested,FALSE,1,NA,No Candidates
State Representative District 006,6,Other,Excluded,20101,42,NA,10254,NA,NA,Rep,0.9543592744294909,Uncontested,FALSE,NA,NA,NA
State Representative District 007,7,Dem,Outnumbered,22585,3612,NA,15274,NA,NA,Rep,0.6729082100301166,20% or more,FALSE,18,NA,No Candidates
State Representative District 007,7,Rep,Meaningful (Primary),22585,11436,Mike Sexton,15274,12743,0.8342935707738641,Rep,0.6729082100301166,20% or more,FALSE,2700,0.019629629629629608,Less than 5%
State Representative District 007,7,No Party,Excluded,22585,7375,NA,15274,NA,NA,Rep,0.6729082100301166,20% or more,FALSE,NA,NA,NA
State Representative District 007,7,Lib,Excluded,22585,130,NA,15274,NA,NA,Rep,0.6729082100301166,20% or more,FALSE,3,NA,No Candidates
State Representative District 007,7,Other,Excluded,22585,32,NA,15274,NA,NA,Rep,0.6729082100301166,20% or more,FALSE,NA,NA,NA
State Representative District 008,8,Dem,Outnumbered,21104,5681,NA,10731,NA,NA,Rep,0.9493057496971391,Uncontested,FALSE,21,NA,No Candidates
State Representative District 008,8,Rep,Unneeded,21104,7806,Ann Meyer,10731,10459,0.9746528748485696,Rep,0.9493057496971391,Uncontested,FALSE,1787,0.9843312814773364,Uncontested
State Representative District 008,8,No Party,Excluded,21104,7409,NA,10731,NA,NA,Rep,0.9493057496971391,Uncontested,FALSE,NA,NA,NA
State Representative District 008,8,Lib,Excluded,21104,161,NA,10731,NA,NA,Rep,0.9493057496971391,Uncontested,FALSE,0,NA,No Candidates
State Representative District 008,8,Other,Excluded,21104,47,NA,10731,NA,NA,Rep,0.9493057496971391,Uncontested,FALSE,NA,NA,NA
State Representative District 009,9,Dem,Outnumbered,23418,4721,Christian He-Man Schlaerth,16035,4270,0.26629248518864984,Rep,0.46610539444964144,20% or more,FALSE,290,0.9862068965517241,Uncontested
State Representative District 009,9,Rep,Unneeded,23418,10109,Henry Stone,16035,11744,0.7323978796382913,Rep,0.46610539444964144,20% or more,FALSE,2004,0.9810379241516967,Uncontested
State Representative District 009,9,No Party,Excluded,23418,8424,NA,16035,NA,NA,Rep,0.46610539444964144,20% or more,FALSE,NA,NA,NA
State Representative District 009,9,Lib,Excluded,23418,142,NA,16035,NA,NA,Rep,0.46610539444964144,20% or more,FALSE,5,NA,No Candidates
State Representative District 009,9,Other,Excluded,23418,22,NA,16035,NA,NA,Rep,0.46610539444964144,20% or more,FALSE,NA,NA,NA
State Representative District 010,10,Dem,Outnumbered,25279,4955,NA,15544,NA,NA,Rep,0.9677045805455482,Uncontested,FALSE,15,NA,No Candidates
State Representative District 010,10,Rep,Unneeded,25279,12077,John H. Wills,15544,15293,0.9838522902727741,Rep,0.9677045805455482,Uncontested,FALSE,1472,0.9619565217391304,Uncontested
State Representative District 010,10,No Party,Excluded,25279,8052,NA,15544,NA,NA,Rep,0.9677045805455482,Uncontested,FALSE,NA,NA,NA
State Representative District 010,10,Lib,Excluded,25279,163,NA,15544,NA,NA,Rep,0.9677045805455482,Uncontested,FALSE,1,NA,No Candidates
State Representative District 010,10,Other,Excluded,25279,32,NA,15544,NA,NA,Rep,0.9677045805455482,Uncontested,FALSE,NA,NA,NA
State Representative District 011,11,Dem,Outnumbered,23305,4603,Jeff Rich,15724,4329,0.2753116255405749,Rep,0.4484863902314932,20% or more,FALSE,285,0.9929824561403509,Uncontested
State Representative District 011,11,Rep,Unneeded,23305,10373,Craig Steven Williams,15724,11381,0.7237980157720681,Rep,0.4484863902314932,20% or more,FALSE,1383,0.9913232104121474,Uncontested
State Representative District 011,11,No Party,Excluded,23305,8124,NA,15724,NA,NA,Rep,0.4484863902314932,20% or more,FALSE,NA,NA,NA
State Representative District 011,11,Lib,Excluded,23305,172,NA,15724,NA,NA,Rep,0.4484863902314932,20% or more,FALSE,1,NA,No Candidates
State Representative District 011,11,Other,Excluded,23305,33,NA,15724,NA,NA,Rep,0.4484863902314932,20% or more,FALSE,NA,NA,NA
State Representative District 012,12,Dem,Outnumbered,20823,3951,Dustin Durbin,13930,3643,0.2615218951902369,Rep,0.47566403445800437,20% or more,FALSE,184,0.9456521739130435,Uncontested
State Representative District 012,12,Rep,Unneeded,20823,10025,Steven Holt,13930,10269,0.7371859296482413,Rep,0.47566403445800437,20% or more,FALSE,2339,0.9649422830269345,Uncontested
State Representative District 012,12,No Party,Excluded,20823,6690,NA,13930,NA,NA,Rep,0.47566403445800437,20% or more,FALSE,NA,NA,NA
State Representative District 012,12,Lib,Excluded,20823,124,NA,13930,NA,NA,Rep,0.47566403445800437,20% or more,FALSE,2,NA,No Candidates
State Representative District 012,12,Other,Excluded,20823,33,NA,13930,NA,NA,Rep,0.47566403445800437,20% or more,FALSE,NA,NA,NA
State Representative District 013,13,Dem,Outnumbered,22907,3829,Rosanne Plante,17055,3192,0.18715919085312224,Rep,0.5435356200527705,20% or more,FALSE,23,NA,No Candidates
State Representative District 013,13,Rep,Meaningful (Primary),22907,12053,Travis M Sitzmann,17055,12462,0.7306948109058927,Rep,0.5435356200527705,20% or more,FALSE,2465,0.25517241379310346,20% or more
State Representative District 013,13,No Party,Excluded,22907,6862,NA,17055,NA,NA,Rep,0.5435356200527705,20% or more,FALSE,NA,NA,NA
State Representative District 013,13,Lib,Excluded,22907,133,NA,17055,NA,NA,Rep,0.5435356200527705,20% or more,FALSE,2,NA,No Candidates
State Representative District 013,13,Other,Excluded,22907,30,NA,17055,NA,NA,Rep,0.5435356200527705,20% or more,FALSE,NA,NA,NA
State Representative District 014,14,Dem,Outnumbered,21705,5273,NA,11401,NA,NA,Rep,0.9500043855802123,Uncontested,FALSE,18,NA,No Candidates
State Representative District 014,14,Rep,Unneeded,21705,9032,Jacob Bossman,11401,11116,0.9750021927901061,Rep,0.9500043855802123,Uncontested,FALSE,1156,0.9602076124567474,Uncontested
State Representative District 014,14,No Party,Excluded,21705,7200,NA,11401,NA,NA,Rep,0.9500043855802123,Uncontested,FALSE,NA,NA,NA
State Representative District 014,14,Lib,Excluded,21705,155,NA,11401,NA,NA,Rep,0.9500043855802123,Uncontested,FALSE,2,NA,No Candidates
State Representative District 014,14,Other,Excluded,21705,45,NA,11401,NA,NA,Rep,0.9500043855802123,Uncontested,FALSE,NA,NA,NA
