name,district_num,party,county,email
J.D. Scholten,1,Democrat,Woodbury,j.d.scholten@legis.iowa.gov
Bob Henderson,2,Republican,Woodbury,robert.henderson@legis.iowa.gov
Thomas M. Jeneary,3,Republican,Plymouth,tom.jeneary@legis.iowa.gov
Skyler Wheeler,4,Republican,Sioux,skyler.wheeler@legis.iowa.gov
Zach Dieken,5,Republican,O’Brien,zachary.dieken@legis.iowa.gov
Megan Jones,6,Republican,Clay,megan.jones@legis.iowa.gov
Michael V. Sexton,7,Republican,Calhoun,mike.sexton@legis.iowa.gov
Ann Meyer,8,Republican,Webster,ann.meyer@legis.iowa.gov
Henry Stone,9,Republican,Winnebago,henry.stone@legis.iowa.gov
John H. Wills,10,Republican,Dickinson,john.wills@legis.iowa.gov
Craig Steven Williams,11,Republican,Carroll,craig.williams@legis.iowa.gov
Steven C. Holt,12,Republican,Crawford,steven.holt@legis.iowa.gov
Travis M. Sitzmann,13,Republican,Plymouth,travis.sitzmann@legis.iowa.gov
Jacob Bossman,14,Republican,Woodbury,jacob.bossman@legis.iowa.gov
Matt W. Windschitl,15,Republican,Harrison,matt.windschitl@legis.iowa.gov
David Sieck,16,Republican,Mills,david.sieck@legis.iowa.gov
Devon Wood,17,Republican,Taylor,devon.wood@legis.iowa.gov
Thomas Jay Moore,18,Republican,Cass,tom.moore@legis.iowa.gov
Brent Siegrist,19,Republican,Pottawattamie,brent.siegrist@legis.iowa.gov
Josh Turek,20,Democrat,Pottawattamie,josh.turek@legis.iowa.gov
Brooke Boden,21,Republican,Warren,brooke.boden@legis.iowa.gov
Samantha Fett,22,Republican,Warren,samantha.fett@legis.iowa.gov
Ray Sorensen,23,Republican,Adair,ray.sorensen@legis.iowa.gov
Sam Wengryn,24,Republican,Decatur,sam.wengryn@legis.iowa.gov
Hans C. Wilz,25,Republican,Wapello,hans.wilz@legis.iowa.gov
Austin Harris,26,Republican,Appanoose,austin.harris@legis.iowa.gov
Kenan Judge,27,Democrat,Dallas,kenan.judge@legis.iowa.gov
David E. Young,28,Republican,Dallas,david.young@legis.iowa.gov
Brian Meyer,29,Democrat,Polk,brian.meyer@legis.iowa.gov
Dr. Megan L. Srinivas,30,Democrat,Polk,megan.srinivas@legis.iowa.gov
Mary Lee Madison,31,Democrat,Polk,mary.madison@legis.iowa.gov
Jennifer Konfrst,32,Democrat,Polk,jennifer.konfrst@legis.iowa.gov
Ruth Ann Gaines,33,Democrat,Polk,ruthann.gaines@legis.iowa.gov
Rob Johnson,34,Democrat,Polk,rob.johnson@legis.iowa.gov
Sean Bagniewski,35,Democrat,Polk,sean.bagniewski@legis.iowa.gov
Austin Baeth,36,Democrat,Polk,austin.baeth@legis.iowa.gov
Barb Kniff McCulla,37,Republican,Marion,barb.kniffmcculla@legis.iowa.gov
Jon Dunwell,38,Republican,Jasper,jon.dunwell@legis.iowa.gov
Rick L. Olson,39,Democrat,Polk,rick.olson@legis.iowa.gov
Bill Gustoff,40,Republican,Polk,bill.gustoff@legis.iowa.gov
Ryan Weldon,41,Republican,Polk,ryan.weldon@legis.iowa.gov
Heather Matson,42,Democrat,Polk,heather.matson@legis.iowa.gov
Eddie Andrews,43,Republican,Polk,eddie.andrews@legis.iowa.gov
Larry McBurney,44,Democrat,Polk,larry.mcburney@legis.iowa.gov
Brian K. Lohse,45,Republican,Polk,brian.lohse@legis.iowa.gov
Dan Gehlbach,46,Republican,Dallas,dan.gehlbach@legis.iowa.gov
Carter F. Nordman,47,Republican,Dallas,carter.nordman@legis.iowa.gov
Chad Behn,48,Republican,Boone,chad.behn@legis.iowa.gov
Beth Wessel-Kroeschell,49,Democrat,Story,beth.wessel-kroeschell@legis.iowa.gov
Ross Wilburn,50,Democrat,Story,ross.wilburn@legis.iowa.gov
Brett Barker,51,Republican,Story,brett.barker@legis.iowa.gov
David L. Blom,52,Republican,Marshall,david.blom@legis.iowa.gov
Dean Fisher,53,Republican,Tama,dean.fisher@legis.iowa.gov
Joshua Meggers,54,Republican,Grundy,joshua.meggers@legis.iowa.gov
Shannon Latham,55,Republican,Franklin,shannon.latham@legis.iowa.gov
Mark I. Thompson,56,Republican,Wright,mark.thompson@legis.iowa.gov
Pat Grassley,57,Republican,Butler,pat.grassley@legis.iowa.gov
Charley Thomson,58,Republican,Floyd,charley.thomson@legis.iowa.gov
Christian A. Hermanson,59,Republican,Cerro Gordo,christian.hermanson@legis.iowa.gov
Jane Bloomingdale,60,Republican,Worth,jane.bloomingdale@legis.iowa.gov
Timi M. Brown-Powers,61,Democrat,Black Hawk,timi.brown-powers@legis.iowa.gov
Jerome Amos Jr.,62,Democrat,Black Hawk,jerome.amosjr@legis.iowa.gov
Michael R. Bergan,63,Republican,Winneshiek,michael.bergan@legis.iowa.gov
Jason Gearhart,64,Republican,Clayton,jason.gearhart@legis.iowa.gov
Shannon Lundgren,65,Republican,Dubuque,shannon.lundgren@legis.iowa.gov
